name,team,PositionTemp,Minutes,goals,assists,PKMissed,Goals Against,Saves,Clean Sheet,Yellow Cards,Red Cards,URL,ImgURL,injuries,description,position,FantasyPoints
Anna Moorhouse,Pride,GK,"2,340",0,0,0,20,86,13,0,0,https://fbref.com/en/players/271c5edc/Anna-Moorhouse,assets/placeholder.png,healthy,Amazing Goal Keeper,GK,24
Kat Asman,Pride,GK,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,Second season in NWSL. Previously second choice keeper at Portland Thorns,GK,0
DeAira Jackson,Pride,GK,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,First season in NWSL. Signed on a short-term contract,GK,0
McKinleyCrone,Pride,GK,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,Currentlly Pride's second-choice keeper,GK,0
Haley McCutcheon,Pride,MF,"1,698",0,0,0,20,0,13,2,0,,assets/placeholder.png,healthy,Previously Haley Hanson,MF,1
Kylie Nadaner,Pride,DF,"2,158",0,1,0,20,0,13,4,1,,assets/placeholder.png,healthy,Previously Kylie Strom,DF,-8
Rafaelle,Pride,DF,621,0,0,0,20,0,13,1,0,,assets/placeholder.png,SEI,,DF,-5
Emily Sams,Pride,DF,"2,186",1,2,0,20,0,13,2,0,,assets/placeholder.png,healthy,,DF,6
Luana,Pride,"DF,MF",189,0,0,0,20,0,13,2,0,,assets/placeholder.png,SEI,,DF-MF,-6
Prisca Chilfuya,Pride,FW,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,First season in NWSL. Previously at Juarez,FW,0
Marta,Pride,"FW,MF","1,734",9,1,0,20,0,13,4,0,,assets/placeholder.png,healthy,,FW-MF,47
Ally Watt,Pride,"FW,MF",887,3,1,0,20,0,13,1,0,,assets/placeholder.png,healthy,,FW-MF,20
Cori Dyke,Pride,"DF,MF","1,100",0,1,0,20,0,13,0,0,,assets/placeholder.png,healthy,,DF-MF,-1
Viviana Villacorta,Pride,"MF,DF",71,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,Only played 71 minutes in 2024 season,DF-MF,2
Angelina,Pride,"MF,FW","1,483",2,2,0,20,0,13,1,0,,assets/placeholder.png,healthy,,FW-MF,18
Morgan Gautrat,Pride,MF,850,0,0,0,20,0,13,3,0,,assets/placeholder.png,healthy,,MF,0
Simone Charley,Pride,FW,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,SEI,,FW,0
Carson Pickett,Pride,"DF,FW",391,1,1,0,20,0,13,2,0,,assets/placeholder.png,healthy,,DF-FW,3
Julie Doyle,Pride,"MF,FW","1,365",2,1,0,20,0,13,2,0,,assets/placeholder.png,healthy,,FW-MF,14
Oihane,Pride,DF,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,First season in NWSL. Previously at Real Madrid,DF,0
Barbra Banda,Pride,FW,"1,741",13,6,0,20,0,13,0,0,,assets/placeholder.png,healthy,,FW,72
Grace Chanda,Pride,MF,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,SEI,Out all last season. Still injured,MF,0
Kerry Abello,Pride,DF,"2,108",1,2,0,20,0,13,2,0,,assets/placeholder.png,healthy,,DF,6
Summer Yates,Pride,"MF,FW","1,327",5,2,0,20,0,13,0,0,,assets/placeholder.png,healthy,,FW-MF,34
Amanda Allen,Pride,"DF,MF",87,0,1,0,20,0,13,1,0,,assets/placeholder.png,SEI,,DF-MF,-2
Ally Lemos,Pride,MF,346,0,0,0,20,0,13,1,0,,assets/placeholder.png,healthy,,MF,2
Brianna Martinez,Pride,DF,698,0,0,0,20,0,13,3,1,,assets/placeholder.png,healthy,,DF,-10
Aryssa Mahrt,Pride,MF,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,First season in NWSL. Rookie from Wisconsin,MF,0
Zara Chavoshi,Pride,DF,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,First season in NWSL.,DF,0
Aubrey Kingsbury,Spirit,GK,"2,339",0,1,0,28,72,7,0,1,,assets/placeholder.png,healthy,,GK,16
Trinity Rodman,Spirit,"FW,MF","1,761",8,6,0,28,0,7,4,0,,assets/placeholder.png,healthy,,FW-MF,57
Casey Krueger,Spirit,DF,"1,678",1,3,0,28,0,7,1,0,,assets/placeholder.png,healthy,,DF,6
Rebeca Bernal,Spirit,DF,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,First season in NWSL. Previously at Monterrey. Captain of Mexico NationaL Team,DF,0
Namura Miura,Spirit,MF,"1,955",0,0,0,28,0,6,3,0,,assets/placeholder.png,healthy,First season with Spirit. Previously at NC Courage,MF,0
Kate Wiesner,Spirit,"DF,FW",518,1,0,0,28,0,7,2,0,,assets/placeholder.png,healthy,,DF-FW,-4
Croix Bethune,Spirit,"MF,FW","1,381",5,10,0,28,0,7,1,0,,assets/placeholder.png,healthy,,FW-MF,57
Makenna Morris,Spirit,"FW,MF",536,5,2,0,28,0,7,0,0,,assets/placeholder.png,healthy,,FW-MF,34
Tara McKeown,Spirit,DF,"2,340",0,1,0,28,0,7,2,0,,assets/placeholder.png,healthy,,DF,-7
Leicy Santos,Spirit,MF,530,2,1,0,28,0,7,1,0,,assets/placeholder.png,healthy,,MF,15
Ouleymata Sarr,Spirit,FW,"1,328",8,2,0,28,0,7,1,0,,assets/placeholder.png,healthy,,FW,39
Andi Sullivan,Spirit,MF,"1,708",2,0,0,28,0,7,2,0,,assets/placeholder.png,healthy,,MF,11
Brittany Ratcliffe,Spirit,"FW,MF",515,3,0,0,28,0,7,1,0,,assets/placeholder.png,healthy,,FW-MF,17
Gabrielle Carle,Spirit,DF,"2,021",0,2,0,28,0,7,2,0,,assets/placeholder.png,healthy,,DF,-4
Courtney Brown,Spirit,"FW,MF",947,1,0,0,28,0,7,0,0,,assets/placeholder.png,healthy,,FW-MF,8
Hal Hershfelt,Spirit,MF,"2,076",2,0,0,28,0,7,6,0,,assets/placeholder.png,healthy,,MF,7
Lyza Jessee,Spirit,GK,1,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,Second choice keeper. Changed last name from Bosselmann,GK,1
Rosemonde Kouassi,Spirit,FW,552,0,2,0,28,0,7,1,1,,assets/placeholder.png,healthy,,FW,4
Heather Stainbrook,Spirit,MF,442,1,0,0,28,0,7,2,0,,assets/placeholder.png,healthy,,MF,6
Esme Morgan,Spirit,DF,448,0,0,0,28,0,7,1,0,,assets/placeholder.png,healthy,,DF,-9
Kysha Sylla,Spirit,DF,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,First season in NWSL. On loan from Lyon,DF,0
Paige Metayer,Spirit,"DF,MF","1,044",1,1,0,28,0,7,2,0,,assets/placeholder.png,healthy,,DF-MF,-1
Sandy Maclver,Spirit,GK,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,First season in NWSL. Previously at Manchester City,GK,0
Kaylie Collins,Spirit,GK,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,Third-choice keeper,GK,0
Ashley Hatch,Spirit,FW,"1,403",7,3,0,28,0,7,0,0,,assets/placeholder.png,healthy,,FW,39
Kiley Dulaney,Spirit,FW,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,Rookie Season. Player college at Arkansas,FW,0
Meg Boade,Spirit,MF,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,New non-rostered short-term signing ,MF,0
Margie Detrizio,Spirit,FW,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,Rookie season. Played college at Georgia,FW,0
Chloe Ricketts,Spirit,"MF,FW",20,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,,FW-MF,1
Emma Gaines-Ramos,Spirit,FW,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,Rookie season. Played college at SDSU,FW,0
Ryan Campbell,Gotham FC,GK,0,0,0,0,0,0,0,0,0,,assets/placeholder.png,healthy,Rookie season. Played college at Stanford,GK,0
Shelby Hogan,Gotham FC,GK,"1,890",0,0,0,25,70,9,0,0,,assets/placeholder.png,healthy,Traded to Gotham from Thorns at the end of last season,GK,17
Ann-Katrin Berger,Gotham FC,GK,"1,980",0,0,0,16,65,8,0,0,,assets/placeholder.png,healthy,,GK,19
Bruninha,Gotham FC,DF,866,0,2,0,16,0,8,3,0,,assets/placeholder.png,healthy,,DF,1
